point_name1,point_name2,setsu_name
X1-Y1,X1-Y2,1
X1-Y2,X1-Y3,1
X1-Y3,X1-Y4,1
X1-Y4,X1-Y5,1
X1-Y5,X1-Y6,1
X1-Y8,X1-Y7,1
X2-Y1,X2-Y2,1
X2-Y2,X2-Y3,1
X2-Y3,X2-Y4,1
X2-Y4,X2-Y5,1
X2-Y5,X2-Y6,1
X2-Y6,X2-Y7,1
X11-Y5,X11-Y6,1
X12-Y1,X12-Y2,1
X12-Y2,X12-Y3,1
X13-Y1,X13-Y2,1
X13-Y2,X13-Y3,1
X8-Y1,X9-Y1,1
X9-Y1,X10-Y1,1
X11-Y1,X12-Y1,1
X12-Y1,X13-Y1,1
X8-Y2,X9-Y2,1
X9-Y2,X10-Y2,1
X10-Y2,X11-Y2,1
X11-Y2,X12-Y2,1
X12-Y2,X13-Y2,1
X8-Y3,X9-Y3,1
X9-Y3,X10-Y3,1
X10-Y3,X11-Y3,1
X11-Y3,X12-Y3,1
X12-Y3,X13-Y3,1
X8-Y4,X9-Y4,1
X9-Y4,X10-Y4,1
X10-Y4,X11-Y4,1
X8-Y6,X9-Y6,1
X9-Y6,X10-Y6,1
X10-Y6,X11-Y6,1
X8-Y2D,X9-Y2D,1
X9-Y2D,X10-Y2D,1
X10-Y2D,X11-Y2D,1
X8-Y5,X9-Y5,1
X9-Y5,X10-Y5,1
X10-Y5,X11-Y5,1
X7A-Y4,X8-Y4,1
X8-Y4,X8A-Y4,1
X8A-Y4,X9-Y4,1
X9-Y4,X9A-Y4,1
X9A-Y4,X10-Y4,1
X10為4,Ｘ10A-Y4,1
X9-Y4,X11-Y4,1
X10A-Y4,X11-Y4,1
X12D-Y5D,X12D-Y5,1
X12D-Y5,X12D-Y4,1
X12-Y3,X13-Y3,1
X12-Y2D,X13-Y2D,1
X11-Y2D,X10-Y2D,1
X11-Y1,X1C2-Y1,1
X12-Y1,X13-Y1,1
X11-Y3,X12-Y3,1
X11-Y2D,X12-Y2D,1
X10-Y1,X11-Y1,1
X12-Y5D,X13C-Y5D,1
X12-Y4D,X13C-Y4D,1
X12D-Y5D,X12A-Y5D,1
X13A-Y3,X13A-Y1D,1
X12-Y5D,X12D-Y5D,1
X12D-Y4D,X12-Y4D,1
X13C-Y5D,X13C-Y4D,1
X12-Y4D,X12D-Y4,1
