point_name,x_torishin_name,y_torishin_name,setsu_name,col_form,angle,kih_x,kih_y,kih_z,tat_x,tat_y,tat_z,hon_x,hon_y,hon_z,you_x,you_y,you_z,con_x,con_y,con_z,comment
X5-Y1,X5,Y1,0,S,,37400,0,1000,3,-1,3,3,-1,3,,,,,,,
X5-Y2,X5,Y2,0,S,,37400,16300,1000,2,2,1,2,2,1,,,,,,,
X4B-Y1,X4B,Y1,0,S,,28400,0,1000,3,2,1,3,2,1,,,,,,,
X4B-Y2,X4B,Y2,0,S,,28400,16300,1000,3,2,3,3,1,3,,,,,,,
X3B-Y1,X3B,Y1,0,S,,19400,0,1000,3,3,3,3,3,3,,,,,,,
X3B-Y2,X3B,Y2,0,S,,19400,16300,1000,3,3,4,2,3,4,,,,,,,
X2B-Y1,X2B,Y1,0,S,,10400,0,1000,3,-1,0,3,-3,0,,,,,,,
X2B-Y2,X2B,Y2,0,S,,10400,16300,1000,3,0,4,3,2,4,,,,,,,
X1B-Y1,X1B,Y1,0,S,,1400,0,1000,3,2,3,3,3,3,,,,,,,
X1B-Y2,X1B,Y2,0,S,,1400,16300,1000,3,1,-1,3,3,0,,,,,,,
X1-Y3,X1,Y3,0,S,,0,26600,1000,3,2,0,3,2,0,,,,,,,
X2-Y3,X2-,Y3,0,S,,8800,26600,1000,3,2,0,2,2,0,,,,,,,
X3-Y3,x3,Y3,0,S,,15600,26600,1000,3,3,1,3,2,1,,,,,,,
X4-Y3,x4,Y3,0,S,,26600,26600,1000,2,3,0,3,2,0,,,,,,,
X5-Y3,X5,Y3,0,S,,37400,26600,1000,-2,3,1,-3,3,1,,,,,,,
X6-Y3,X6,Y3,0,S,,48200,26600,1000,1,1,0,-1,2,-1,,,,,,,
X7-Y3,X7,Y3,0,S,,59000,26600,1000,2,1,0,1,2,-1,,,,,,,
X8-Y3,X8,Y3,0,S,,69800,26600,1000,-1,3,2,-2,3,1,,,,,,,
X9-Y3,X9,Y3,0,S,,80600,26600,1000,-3,3,1,-1,3,1,,,,,,,
X10-Y3,X10,Y3,0,S,,91600,26600,1000,-2,3,-2,-3,3,-1,,,,,,,
X11-Y3,X11,Y3,0,S,,102600,26600,1000,-3,3,-2,-3,3,-1,,,,,,,
X12-Y3,X12,Y3,0,S,,113600,26600,1000,-2,2,0,-3,3,0,,,,,,,
X1-Y4,X1,Y4,0,S,,0,39600,1000,0,3,1,2,2,1,,,,,,,
X2-Y4,X2,Y4,0,S,,8800,39600,1000,2,3,-1,2,2,-1,,,,,,,
X3-Y4,x3,Y4,0,S,,15800,39600,1000,3,3,0,2,3,0,,,,,,,
X4-Y4,x4,Y4,0,S,,26600,39600,1000,3,3,0,3,3,0,,,,,,,
X5-Y4,X5,Y4,0,S,,37400,39600,1000,2,3,0,2,2,0,,,,,,,
X6-Y4,X6,Y4,0,S,,48200,39600,1000,1,1,0,3,-2,0,,,,,,,
X7-Y4,X7,Y4,0,S,,59000,39600,1000,0,-3,0,-2,-1,-1,,,,,,,
X8-Y4,X8,Y4,0,S,,69800,39600,1000,-2,2,2,-3,2,-1,,,,,,,
X9-Y4,X9,Y4,0,S,,80600,39600,1000,-3,-2,3,-3,-3,2,,,,,,,
