torishin_name,x1,y1,x2,y2,gaiheki_type
X1,0,0,0,58540,
X1B,1400,0,1400,16300,
X2,8800,0,8800,58540,
X2A,12600,0,12600,58540,
X2B,10400,0,10400,16300,
X3A,14200,0,14200,58540,
X3,15800,0,15800,58540,
X3B,19400,0,19400,58540,
X4A,25000,0,25000,58540,
X4,26600,0,26600,58540,
X4B,28400,0,28400,58540,
X5A,35800,0,35800,58540,
X5,37400,0,37400,58540,
X6,48200,0,48200,58540,
X7,59000,0,59000,58540,
X8,69800,0,69800,58540,
X9,80600,0,80600,58540,
X10,91600,0,91600,58540,
X11,102600,0,102600,58540,
X12,113600,0,113600,58540,
Y1,0,0,37400,0,
Y2,0,16300,37400,16300,
Y3,0,26600,37400,26600,
Y4,0,39600,113600,39600,
Y5,0,42800,113600,42800,
Y6,0,55800,113600,55800,
Y7,0,58540,113600,58540,
X8A,76100,26600,76100,39600,
