torishin_name,x1,y1,x2,y2,gaiheki_type
X1,0,0,0,66040,
X2,10800,0,10800,66040,
X3,21600,0,21600,66040,
X4,32400,0,32400,66040,
X5,43200,0,43200,66040,
X6,54000,0,54000,66040,
X7,64800,0,64800,66040,
X8,75600,0,75600,66040,
X9,86400,0,86400,66040,
X10,97200,0,97200,66040,
X11,108000,0,108000,66040,
X12,118800,0,118800,66040,
X13,129600,0,129600,66040,
Y1,0,0,129600,0,
Y2,0,8600,129600,8600,
Y2D,0,14700,129600,14700,
Y3,0,25800,129600,25800,
Y4,0,36600,129600,36600,
Y5,0,43600,129600,43600,
Y6,0,52200,129600,52200,
Y7,0,66040,129600,66040,
Y7A,0,66040,129600,66040,
Y7B,0,66040,129600,66040,
Y7C,0,66040,129600,66040,
Y7D,0,66040,129600,66040,
